session,fn,idx,sex,audio_caption,emotion,text,Bio,aus,visual_caption
1,Ses01F_impro07,17,F,The speaker sounds happy.,exc,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,18,M,The speaker sounds happy.,exc,Yeah.  Big time.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,19,M,"The speaker sounds male, singing in English with a neutral mood.",exc,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,20,F,The speaker sounds happy.,exc,"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro07,21,M,Neutral,exc,"Oh, okay.","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,22,M,The speaker sounds happy.,exc,Ooh. Fancy.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,23,F,Neutral,exc,Yeah.  I'm not sure.,"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,24,M,"The speaker sounds male, speaks English, and is in a neutral mood.",exc,Is this a Masters or a P.h.D.?  Or can you...? Nice,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,25,F,The speaker sounds happy.,exc,Umm...P.h.D. [LAUGHTER],"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,26,M,The speaker sounds happy.,exc,"That's good.  Don't you have to like teach a class, too, when you do that?","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,27,F,Happy,exc,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro07,28,M,The speaker sounds happy.,exc,"Teacher. Mrs. Nash, I have a question.","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,29,F,The speaker sounds happy.,exc,So I get to mold young minds. Mrs.?  That's my mother.,"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,30,M,The speaker sounds happy.,exc,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,32,F,The speaker sounds happy.,exc,"I would be like- Oh. Right, right, right.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro07,33,M,The speaker sounds happy.,exc,"Mrs. Nash.  That's so awesome, though.","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,34,F,"The first speaker is male, singing in English with a neutral mood.",exc,"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,35,M,The speaker sounds happy.,exc,Yay...School's fun.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,36,M,The speaker sounds happy.,exc,"Of course, right.  That's where the real money is, being a student.","Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,37,F,Happy,exc,Yeah.  Totally. [LAUGHTER],"Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,38,M,The speaker sounds happy.,exc,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,"Speaker M appears to be assertive and direct in the conversation. There are no indications of hesitation or uncertainty, suggesting confidence. However, without more context, it's hard to determine if this assertiveness is balanced with consideration for others' feelings.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro07,39,F,Happy,exc,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.","Speaker F appears to be reflective and considerate. They often ask thoughtful questions and offer gentle suggestions, indicating a supportive demeanor. Their tone suggests a patient and understanding nature, focusing on positive reinforcement rather than criticism.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,0,M,The speaker sounds happy.,hap,So what's up?  What's new?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,1,F,Happy,hap,Well Vegas was awesome.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro03,2,M,The speaker sounds happy.,hap,Yeah.  I heard.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,3,F,Happy,hap,"And, um, I got married.","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro03,4,M,The speaker sounds angry.,hap,Shut up.  No- in Vegas?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,5,F,Happy,hap,Yeah.  In the old town part.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,6,M,The speaker sounds happy.,hap,Who did you marry?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,7,F,The speaker sounds happy.,hap,Chuck. [LAUGHTER],"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,8,M,The speaker sounds happy.,hap,Did you propose to you?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,9,F,Happy,hap,Um- Yes.  It was very romantic.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,10,F,Happy,hap,It was at the slot machines.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,11,M,The speaker sounds happy.,hap,Oh.  The Wheel of Fortune slots?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,12,F,Happy,hap,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,13,M,Happy,hap,He turned to you and was like...,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro03,14,F,The speaker sounds happy.,hap,Hey.  Let's get married and I said okay.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro03,15,M,The speaker sounds happy.,hap,[LAUGHTER] That's really romantic.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,16,F,Happy,hap,"Yeah.  Well.  You know, because he's leaving the next day.","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,17,M,The speaker sounds happy.,hap,Yeah.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Brow Lowerer, Lip Corner Depressor",Nan
1,Ses01F_impro03,18,F,The speaker sounds happy.,hap,But we're going to have a honeymoon cruise.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,19,M,The speaker sounds English.,hap,"Does that mean that you're going to get citizenship, too, in- in England or whatever?","Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,20,F,Happy,hap,Oh.  I hadn't even thought about that.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,21,M,Happy,hap,Yeah.  Think about that.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,22,F,Happy,hap,"He's not going to be a citizen, though.","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Cheek Raiser, Lip Corner Puller",Nan
1,Ses01F_impro03,23,M,Neutral,hap,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,25,F,Neutral,hap,Oh.  Totally.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,27,M,The speaker sounds happy.,hap,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?","Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,28,F,Happy,hap,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,29,M,The speaker sounds happy.,hap,Like you need another one of those.[LAUGHTER],"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,30,F,Happy,hap,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,31,M,"The speaker sounds male, speaks English, is likely between 16-25 years old, and conveys a neutral mood.",hap,Is that your phone?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Brow Lowerer, Lip Corner Depressor",Nan
1,Ses01F_impro03,32,F,Happy,hap,"Yeah, so [LAUGHTER] He's calling me now","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,33,M,The speaker sounds happy.,hap,He loves you.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,34,F,Happy,hap,"He likes to keep tabs, you know.","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Nose Wrinkler, Lip Corner Depressor, Chin Raiser",Nan
1,Ses01F_impro03,35,M,The speaker sounds happy.,hap,How much did he win at the slot?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Inner Brow Raiser, Brow Lowerer, Lip Corner Depressor",Nan
1,Ses01F_impro03,36,F,Happy,hap,"Uh, I think seven hundred and fifty dollars.","Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,37,M,Neutral,hap,Really? Penny slots?,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,38,F,Neutral,hap,Penny slots. That's what he plays.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Inner Brow Raiser, Outer Brow Raiser, Upper Lid Raiser, Jaw Drop",Nan
1,Ses01F_impro03,39,M,The speaker sounds surprised.,hap,Wow.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,40,F,The speaker sounds surprised.,hap,Yeah.,"Speaker F appears to be thoughtful and considerate, often responding with supportive statements and gentle suggestions. They seem to prioritize harmony in the conversation, occasionally steering the dialogue towards more positive or neutral topics when conflicts arise.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
1,Ses01F_impro03,41,M,Male,hap,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,"Speaker M appears to be assertive and direct in their communication. They contribute clearly stated opinions and seem confident in their viewpoints. However, without more context, it's difficult to determine if this assertiveness is always constructive or if there are any nuances in their tone or choice of words that might indicate underlying emotions such as frustration or anger.","Brow Lowerer, Upper Lid Raiser, Lid Tightener, Lip Tightener",Nan
